"id","arrival_airport_code","arrival_airport_terminal","change_date","deadhead","departure_airport_code","departure_airport_terminal","airline_designator","aircraft_type","number","operational_suffix","leg_sequence_number","onward_carrier","onward_flight","onward_suffix","plan_arrival_date_utc","plan_departure_date_utc","service_type","status","route_id","ofp_time_start_utc","ofp_time_end_utc","code_sharing","aircraft_reg_num","estim_blockoff_time_utc","estim_blockon_time_utc","actual_departure_date_utc","actual_arrival_date_utc","onward_flight_date","warning_status","warning_status_time","date_eng_on_utc","date_eng_off_utc","special_status","version_id","start_date_utc","comment","action_type","change_source","modification_id","class_config","leg_oper_schedule_status","flight_time","user_id","smak_id"
"1297448","SVO","B","2023-04-26T15:05:47.268436","NULL","VOG","C2","SU","32A","1183","NULL","1","NULL","NULL","NULL","2022-12-30T19:35:00","2022-12-30T17:25:00","J","ACTIVE","139018035472680227","2022-12-30T19:35:00","2022-12-31T19:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-30T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297449","SVO","B","2023-04-26T15:05:47.268436","NULL","VOG","C2","SU","32A","1183","NULL","1","NULL","NULL","NULL","2022-12-31T19:35:00","2022-12-31T17:25:00","J","ACTIVE","139018035472680228","2022-12-31T19:35:00","2023-01-01T19:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-31T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297450","VOG","C2","2023-04-26T15:05:47.281364","NULL","SVO","B","SU","32A","1182","NULL","1","NULL","NULL","NULL","2022-12-30T16:25:00","2022-12-30T14:20:00","J","ACTIVE","139018035472810229","2022-12-30T16:25:00","2022-12-31T16:24:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-30T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297451","VOG","C2","2023-04-26T15:05:47.281364","NULL","SVO","B","SU","32A","1182","NULL","1","NULL","NULL","NULL","2022-12-31T16:25:00","2022-12-31T14:20:00","J","ACTIVE","139018035472810230","2022-12-31T16:25:00","2023-01-01T16:24:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-31T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297609","SVO","B","2023-04-26T15:05:47.403407","NULL","VOG","C2","SU","32A","1187","NULL","1","NULL","NULL","NULL","2022-12-30T23:30:00","2022-12-30T21:20:00","J","ACTIVE","139018035474030132","2022-12-30T23:30:00","2022-12-31T23:29:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-30T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297610","VOG","C2","2023-04-26T15:05:47.409357","NULL","SVO","B","SU","320","1186","NULL","1","NULL","NULL","NULL","2022-12-29T20:20:00","2022-12-29T18:20:00","J","ACTIVE","139018035474090133","2022-12-29T20:20:00","2022-12-30T20:19:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-29T03:00:00","NULL","NEW","SSIM","65","C20,Y120","NULL","NULL","NULL","NULL"
"1297611","SVO","B","2023-04-26T15:05:47.414514","NULL","MMK","NULL","SU","32A","1321","NULL","1","NULL","NULL","NULL","2022-12-17T15:50:00","2022-12-17T13:10:00","J","ACTIVE","139018035474140134","2022-12-17T15:50:00","2022-12-18T15:49:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-17T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297612","SVO","B","2023-04-26T15:05:47.414514","NULL","MMK","NULL","SU","32A","1321","NULL","1","NULL","NULL","NULL","2022-12-24T15:50:00","2022-12-24T13:10:00","J","ACTIVE","139018035474140135","2022-12-24T15:50:00","2022-12-25T15:49:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-24T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297613","MMK","NULL","2023-04-26T15:05:47.420284","NULL","SVO","B","SU","32A","1320","NULL","1","NULL","NULL","NULL","2022-12-17T12:10:00","2022-12-17T09:20:00","J","ACTIVE","139018035474200136","2022-12-17T12:10:00","2022-12-18T12:09:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-17T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297614","MMK","NULL","2023-04-26T15:05:47.420284","NULL","SVO","B","SU","32A","1320","NULL","1","NULL","NULL","NULL","2022-12-24T12:10:00","2022-12-24T09:20:00","J","ACTIVE","139018035474200137","2022-12-24T12:10:00","2022-12-25T12:09:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-24T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
