"id","leg_id","rank_code","count","eco_load_id","domain"
"3","229","CPT","1","NULL","FC"
"4","229","FO","1","NULL","FC"
"5","228","CPT","1","NULL","FC"
"6","228","FO","1","NULL","FC"
"7","1886","CPT","1","NULL","FC"
"8","1886","FO","1","NULL","FC"
"9","1887","CPT","1","NULL","FC"
"10","1887","FO","1","NULL","FC"
"11","1888","CPT","1","NULL","FC"
"12","1888","FO","1","NULL","FC"
"13","1675","CPT","1","NULL","FC"
"14","1675","FO","1","NULL","FC"
"15","1676","CPT","1","NULL","FC"
"16","1676","FO","1","NULL","FC"
"17","1702","CPT","1","NULL","FC"
"18","1702","FO","1","NULL","FC"
"19","1703","CPT","1","NULL","FC"
"20","1703","FO","1","NULL","FC"
"21","1704","CPT","1","NULL","FC"
"22","1704","FO","1","NULL","FC"
"23","1766","CPT","1","NULL","FC"
"24","1766","FO","1","NULL","FC"
"25","1768","CPT","1","NULL","FC"
"26","1768","FO","1","NULL","FC"
"27","1777","CPT","1","NULL","FC"
"28","1777","FO","1","NULL","FC"
"29","1877","CPT","1","NULL","FC"
"30","1877","FO","1","NULL","FC"
"31","1878","CPT","1","NULL","FC"
"32","1878","FO","1","NULL","FC"
"33","1879","CPT","1","NULL","FC"
"34","1879","FO","1","NULL","FC"
"35","1880","CPT","1","NULL","FC"
"36","1880","FO","1","NULL","FC"
"37","1889","CPT","1","NULL","FC"
"38","1889","FO","1","NULL","FC"
"39","1890","CPT","1","NULL","FC"
"40","1890","FO","1","NULL","FC"
"41","1891","CPT","1","NULL","FC"
"42","1891","FO","1","NULL","FC"
"43","1892","CPT","1","NULL","FC"
"44","1892","FO","1","NULL","FC"
"45","1893","CPT","1","NULL","FC"
"46","1893","FO","1","NULL","FC"
"47","1894","CPT","1","NULL","FC"
"48","1894","FO","1","NULL","FC"
"49","1895","CPT","1","NULL","FC"
"50","1895","FO","1","NULL","FC"
"51","1896","CPT","1","NULL","FC"
"52","1896","FO","1","NULL","FC"
"53","1897","CPT","1","NULL","FC"
"54","1897","FO","1","NULL","FC"
"55","2035","CPT","1","NULL","FC"
"56","2035","FO","1","NULL","FC"
"57","2037","CPT","1","NULL","FC"
"58","2037","FO","1","NULL","FC"
"59","2040","CPT","1","NULL","FC"
"60","2040","FO","1","NULL","FC"
"61","2042","CPT","1","NULL","FC"
"62","2042","FO","1","NULL","FC"
"63","2044","CPT","1","NULL","FC"
"64","2044","FO","1","NULL","FC"
"65","2045","CPT","1","NULL","FC"
"66","2045","FO","1","NULL","FC"
"67","2047","CPT","1","NULL","FC"
"68","2047","FO","1","NULL","FC"
"69","2049","CPT","1","NULL","FC"
"70","2049","FO","1","NULL","FC"
"71","2051","CPT","1","NULL","FC"
"72","2051","FO","1","NULL","FC"
"73","2053","CPT","1","NULL","FC"
"74","2053","FO","1","NULL","FC"
"75","2055","CPT","1","NULL","FC"
"76","2055","FO","1","NULL","FC"
"77","2057","CPT","1","NULL","FC"
"78","2057","FO","1","NULL","FC"
"79","2059","CPT","1","NULL","FC"
"80","2059","FO","1","NULL","FC"
"81","2061","CPT","1","NULL","FC"
"82","2061","FO","1","NULL","FC"
"83","2109","CPT","1","NULL","FC"
"84","2109","FO","1","NULL","FC"
"85","2110","CPT","1","NULL","FC"
"86","2110","FO","1","NULL","FC"
"87","2111","CPT","1","NULL","FC"
"88","2111","FO","1","NULL","FC"
"89","2112","CPT","1","NULL","FC"
"90","2112","FO","1","NULL","FC"
"91","2113","CPT","1","NULL","FC"
"92","2113","FO","1","NULL","FC"
"93","2141","CPT","1","NULL","FC"
"94","2141","FO","1","NULL","FC"
"95","2142","CPT","1","NULL","FC"
"96","2142","FO","1","NULL","FC"
"97","2149","CPT","1","NULL","FC"
"98","2149","FO","1","NULL","FC"
"99","1898","CPT","1","NULL","FC"
"100","1898","FO","1","NULL","FC"
"101","1899","CPT","1","NULL","FC"
"102","1899","FO","1","NULL","FC"
"103","1900","CPT","1","NULL","FC"
"104","1900","FO","1","NULL","FC"
"105","1901","CPT","1","NULL","FC"
"106","1901","FO","1","NULL","FC"
"107","1902","CPT","1","NULL","FC"
"108","1902","FO","1","NULL","FC"
"109","1903","CPT","1","NULL","FC"
"110","1903","FO","1","NULL","FC"
"111","1904","CPT","1","NULL","FC"
"112","1904","FO","1","NULL","FC"
"113","1905","CPT","1","NULL","FC"
"114","1905","FO","1","NULL","FC"
"115","1906","CPT","1","NULL","FC"
"116","1906","FO","1","NULL","FC"
"117","1913","CPT","1","NULL","FC"
"118","1913","FO","1","NULL","FC"
"119","1953","CPT","1","NULL","FC"
"120","1953","FO","1","NULL","FC"
"121","1956","CPT","1","NULL","FC"
"122","1956","FO","1","NULL","FC"
"123","1958","CPT","1","NULL","FC"
"124","1958","FO","1","NULL","FC"
"125","1960","CPT","1","NULL","FC"
"126","1960","FO","1","NULL","FC"
"127","1989","CPT","1","NULL","FC"
"128","1989","FO","1","NULL","FC"
"129","1991","CPT","1","NULL","FC"
"130","1991","FO","1","NULL","FC"
"131","2003","CPT","1","NULL","FC"
"132","2003","FO","1","NULL","FC"
"133","2123","CPT","1","NULL","FC"
"134","2123","FO","1","NULL","FC"
"135","2125","CPT","1","NULL","FC"
"136","2125","FO","1","NULL","FC"
"137","2299","CPT","1","NULL","FC"
"138","2299","FO","1","NULL","FC"
"139","2303","CPT","1","NULL","FC"
"140","2303","FO","1","NULL","FC"
"141","2305","CPT","1","NULL","FC"
"142","2305","FO","1","NULL","FC"
"143","2307","CPT","1","NULL","FC"
"144","2307","FO","1","NULL","FC"
"145","2309","CPT","1","NULL","FC"
"146","2309","FO","1","NULL","FC"
"147","2311","CPT","1","NULL","FC"
"148","2311","FO","1","NULL","FC"
"149","2412","CPT","1","NULL","FC"
"150","2412","FO","1","NULL","FC"
"151","2585","CPT","1","NULL","FC"
"152","2585","FO","1","NULL","FC"
"153","2586","CPT","1","NULL","FC"
"154","2586","FO","1","NULL","FC"
"155","2587","CPT","1","NULL","FC"
"156","2587","FO","1","NULL","FC"
"157","2588","CPT","1","NULL","FC"
"158","2588","FO","1","NULL","FC"
"159","2589","CPT","1","NULL","FC"
"160","2589","FO","1","NULL","FC"
"161","2592","CPT","1","NULL","FC"
"162","2592","FO","1","NULL","FC"
"163","2594","CPT","1","NULL","FC"
"164","2594","FO","1","NULL","FC"
"165","2596","CPT","1","NULL","FC"
"166","2596","FO","1","NULL","FC"
"167","2598","CPT","1","NULL","FC"
"168","2598","FO","1","NULL","FC"
"169","2600","CPT","1","NULL","FC"
"170","2600","FO","1","NULL","FC"
"171","2828","CPT","1","NULL","FC"
"172","2828","FO","1","NULL","FC"
"173","2831","CPT","1","NULL","FC"
"174","2831","FO","1","NULL","FC"
"175","2833","CPT","1","NULL","FC"
"176","2833","FO","1","NULL","FC"
"177","2835","CPT","1","NULL","FC"
"178","2835","FO","1","NULL","FC"
"179","2837","CPT","1","NULL","FC"
"180","2837","FO","1","NULL","FC"
"181","2903","CPT","1","NULL","FC"
"182","2903","FO","1","NULL","FC"
"183","2905","CPT","1","NULL","FC"
"184","2905","FO","1","NULL","FC"
"185","2151","CPT","1","NULL","FC"
"186","2151","FO","1","NULL","FC"
"187","2229","CPT","1","NULL","FC"
"188","2229","FO","1","NULL","FC"
"189","2231","CPT","1","NULL","FC"
"190","2231","FO","1","NULL","FC"
"191","2232","CPT","1","NULL","FC"
"192","2232","FO","1","NULL","FC"
"193","2233","CPT","1","NULL","FC"
"194","2233","FO","1","NULL","FC"
"195","2234","CPT","1","NULL","FC"
"196","2234","FO","1","NULL","FC"
"197","2235","CPT","1","NULL","FC"
"198","2235","FO","1","NULL","FC"
"199","2236","CPT","1","NULL","FC"
"200","2236","FO","1","NULL","FC"
"201","2280","CPT","1","NULL","FC"
"202","2280","FO","1","NULL","FC"
"203","2281","CPT","1","NULL","FC"
"204","2281","FO","1","NULL","FC"
"205","2282","CPT","1","NULL","FC"
"206","2282","FO","1","NULL","FC"
"327","871836","CPT","0","NULL","FC"
"328","871836","FO","0","NULL","FC"
"234","815033","FO","0","NULL","FC"
"233","815033","CPT","0","NULL","FC"
"230","815061","FO","0","NULL","FC"
"217","815732","CPT","0","NULL","FC"
"218","815732","FO","0","NULL","FC"
"339","949288","CPT","0","NULL","FC"
"340","949288","FO","0","NULL","FC"
"223","815048","CPT","0","NULL","FC"
"237","815220","CPT","0","NULL","FC"
"324","815276","CPTR","0","NULL","FC"
"238","815220","FO","0","NULL","FC"
"325","815276","CPT2","0","NULL","FC"
"326","816210","CPT2","0","NULL","FC"
"227","815060","CPT","0","NULL","FC"
"228","815060","FO","0","NULL","FC"
"224","815048","FO","0","NULL","FC"
"341","931430","CPT","0","NULL","FC"
"342","931430","FO","0","NULL","FC"
"343","932527","CPT","0","NULL","FC"
"245","815040","CPT","0","NULL","FC"
"344","932527","FO","0","NULL","FC"
"246","815040","FO","0","NULL","FC"
"359","1133354","CPT","0","NULL","FC"
"229","815061","CPT","0","NULL","FC"
"360","1133354","FO","0","NULL","FC"
"239","815294","CPT","0","NULL","FC"
"240","815294","FO","0","NULL","FC"
"225","815034","CPT","0","NULL","FC"
"226","815034","FO","0","NULL","FC"
"247","815059","CPT","0","NULL","FC"
"248","815059","FO","0","NULL","FC"
"242","815045","FO","0","NULL","FC"
"241","815045","CPT","0","NULL","FC"
"361","1121391","CPT","0","NULL","FC"
"362","1121391","FO","0","NULL","FC"
"373","1179231","CPT","0","NULL","FC"
"374","1179231","FO","0","NULL","FC"
"375","1186948","CPT","0","NULL","FC"
"376","1186948","FO","0","NULL","FC"
"387","1297355","CPT","0","NULL","FC"
"388","1297355","FO","0","NULL","FC"
"259","815358","CPT","0","NULL","FC"
"260","815358","FO","0","NULL","FC"
"253","815102","CPT","0","NULL","FC"
"254","815102","FO","0","NULL","FC"
"249","815057","CPT","0","NULL","FC"
"250","815057","FO","0","NULL","FC"
"243","806369","CPT","0","NULL","FC"
"244","806369","FO","0","NULL","FC"
"345","949976","CPT","0","NULL","FC"
"346","949976","FO","0","NULL","FC"
"221","850837","CPT","0","NULL","FC"
"222","850837","FO","0","NULL","FC"
"379","1264555","CPT","0","NULL","FC"
"380","1264555","FO","0","NULL","FC"
"363","1136358","CPT","0","NULL","FC"
"364","1136358","FO","0","NULL","FC"
